ep 216, loss: 32.87, 6400 train 77.08%, 1600 test 79.19% 
ep 217, loss: 33.06, 6400 train 76.98%, 1600 test 79.88% 
ep 218, loss: 33.32, 6400 train 76.94%, 1600 test 78.50% 
ep 219, loss: 31.58, 6400 train 78.14%, 1600 test 77.38% 
ep 220, loss: 33.53, 6400 train 76.78%, 1600 test 82.50% 
ep 221, loss: 32.85, 6400 train 77.12%, 1600 test 80.38% 
ep 222, loss: 31.79, 6400 train 77.91%, 1600 test 78.69% 
ep 223, loss: 32.31, 6400 train 77.38%, 1600 test 79.12% 
ep 224, loss: 31.44, 6400 train 78.09%, 1600 test 78.44% 
ep 225, loss: 31.95, 6400 train 78.14%, 1600 test 78.25% 
ep 226, loss: 31.38, 6400 train 78.23%, 1600 test 78.62% 
ep 227, loss: 31.40, 6400 train 78.55%, 1600 test 79.25% 
ep 228, loss: 32.23, 6400 train 77.98%, 1600 test 79.38% 
ep 229, loss: 32.75, 6400 train 77.17%, 1600 test 78.12% 
ep 230, loss: 31.68, 6400 train 77.92%, 1600 test 78.94% 
ep 231, loss: 31.03, 6400 train 77.98%, 1600 test 77.19% 
ep 232, loss: 32.58, 6400 train 77.22%, 1600 test 79.06% 
ep 233, loss: 32.02, 6400 train 77.80%, 1600 test 79.50% 
ep 234, loss: 31.08, 6400 train 78.45%, 1600 test 76.38% 
ep 235, loss: 32.21, 6400 train 76.95%, 1600 test 78.69% 
ep 236, loss: 30.82, 6400 train 78.23%, 1600 test 81.19% 
ep 237, loss: 31.19, 6400 train 78.23%, 1600 test 82.38% 
ep 238, loss: 30.14, 6400 train 79.34%, 1600 test 79.00% 
ep 239, loss: 31.44, 6400 train 78.50%, 1600 test 79.44% 
ep 240, loss: 30.06, 6400 train 78.67%, 1600 test 80.00% 
ep 241, loss: 30.94, 6400 train 78.77%, 1600 test 78.31% 
ep 242, loss: 30.80, 6400 train 78.78%, 1600 test 79.94% 
ep 243, loss: 30.93, 6400 train 78.27%, 1600 test 80.50% 
ep 244, loss: 31.65, 6400 train 77.88%, 1600 test 80.31% 
ep 245, loss: 30.61, 6400 train 79.06%, 1600 test 78.31% 
ep 246, loss: 31.58, 6400 train 78.11%, 1600 test 80.31% 
ep 247, loss: 31.28, 6400 train 77.94%, 1600 test 80.69% 
ep 248, loss: 31.11, 6400 train 78.44%, 1600 test 77.69% 
ep 249, loss: 30.18, 6400 train 79.02%, 1600 test 81.88% 
ep 250, loss: 30.84, 6400 train 78.12%, 1600 test 80.56% 
ep 251, loss: 29.78, 6400 train 79.47%, 1600 test 77.19% 
ep 252, loss: 31.58, 6400 train 78.17%, 1600 test 80.38% 
ep 253, loss: 30.76, 6400 train 78.91%, 1600 test 79.75% 
ep 254, loss: 29.93, 6400 train 79.39%, 1600 test 77.56% 
ep 255, loss: 31.54, 6400 train 78.38%, 1600 test 78.69% 
ep 256, loss: 30.08, 6400 train 78.97%, 1600 test 79.88% 
ep 257, loss: 30.01, 6400 train 78.92%, 1600 test 82.00% 
ep 258, loss: 29.80, 6400 train 79.39%, 1600 test 78.88% 
ep 259, loss: 30.16, 6400 train 78.84%, 1600 test 78.50% 
ep 260, loss: 30.32, 6400 train 79.33%, 1600 test 79.31% 
ep 261, loss: 30.00, 6400 train 78.75%, 1600 test 81.12% 
ep 262, loss: 29.84, 6400 train 78.78%, 1600 test 80.56% 
ep 263, loss: 30.38, 6400 train 79.11%, 1600 test 80.19% 
ep 264, loss: 28.74, 6400 train 79.73%, 1600 test 80.62% 
ep 265, loss: 30.29, 6400 train 79.02%, 1600 test 81.38% 
ep 266, loss: 29.78, 6400 train 79.12%, 1600 test 80.06% 
ep 267, loss: 29.96, 6400 train 78.80%, 1600 test 78.50% 
ep 268, loss: 28.84, 6400 train 80.09%, 1600 test 78.88% 
ep 269, loss: 30.49, 6400 train 78.89%, 1600 test 77.69% 
ep 270, loss: 29.52, 6400 train 79.78%, 1600 test 79.81% 
ep 271, loss: 30.05, 6400 train 79.16%, 1600 test 79.06% 
ep 272, loss: 30.52, 6400 train 78.72%, 1600 test 80.62% 
ep 273, loss: 29.41, 6400 train 79.86%, 1600 test 81.25% 
ep 274, loss: 28.67, 6400 train 79.78%, 1600 test 81.31% 
ep 275, loss: 30.52, 6400 train 79.19%, 1600 test 79.12% 
ep 276, loss: 29.69, 6400 train 79.47%, 1600 test 78.94% 
ep 277, loss: 30.37, 6400 train 79.00%, 1600 test 81.31% 
ep 278, loss: 29.98, 6400 train 79.25%, 1600 test 81.12% 
ep 279, loss: 29.66, 6400 train 79.53%, 1600 test 80.69% 
ep 280, loss: 29.27, 6400 train 79.66%, 1600 test 81.38% 
ep 281, loss: 29.00, 6400 train 79.92%, 1600 test 80.94% 
ep 282, loss: 28.69, 6400 train 80.62%, 1600 test 75.88% 
ep 283, loss: 29.11, 6400 train 79.75%, 1600 test 81.12% 
ep 284, loss: 27.61, 6400 train 80.61%, 1600 test 80.25% 
ep 285, loss: 28.32, 6400 train 80.02%, 1600 test 78.12% 
ep 286, loss: 29.17, 6400 train 80.27%, 1600 test 78.38% 
ep 287, loss: 29.21, 6400 train 79.78%, 1600 test 79.12% 
ep 288, loss: 29.62, 6400 train 79.84%, 1600 test 81.12% 
ep 289, loss: 29.53, 6400 train 79.72%, 1600 test 76.50% 
ep 290, loss: 29.37, 6400 train 79.75%, 1600 test 81.56% 
ep 291, loss: 29.58, 6400 train 79.64%, 1600 test 78.19% 
ep 292, loss: 29.64, 6400 train 79.17%, 1600 test 78.88% 
ep 293, loss: 28.07, 6400 train 80.62%, 1600 test 78.69% 
ep 294, loss: 28.69, 6400 train 80.28%, 1600 test 80.31% 
ep 295, loss: 28.51, 6400 train 80.48%, 1600 test 80.44% 
ep 296, loss: 28.67, 6400 train 79.80%, 1600 test 79.75% 
ep 297, loss: 28.61, 6400 train 80.02%, 1600 test 80.81% 
ep 298, loss: 29.49, 6400 train 79.59%, 1600 test 79.50% 
ep 299, loss: 28.51, 6400 train 80.56%, 1600 test 79.75% 
ep 300, loss: 28.72, 6400 train 79.66%, 1600 test 79.75% 
ep 301, loss: 27.22, 6400 train 81.19%, 1600 test 80.25% 
ep 302, loss: 28.95, 6400 train 80.08%, 1600 test 80.06% 
ep 303, loss: 28.51, 6400 train 79.95%, 1600 test 81.19% 
ep 304, loss: 28.17, 6400 train 81.12%, 1600 test 77.12% 
ep 305, loss: 28.17, 6400 train 80.20%, 1600 test 82.50% 
ep 306, loss: 28.84, 6400 train 79.83%, 1600 test 77.62% 
ep 307, loss: 28.38, 6400 train 80.78%, 1600 test 82.25% 
ep 308, loss: 27.96, 6400 train 80.52%, 1600 test 77.50% 
ep 309, loss: 27.12, 6400 train 80.97%, 1600 test 80.75% 
ep 310, loss: 27.93, 6400 train 80.78%, 1600 test 82.19% 
ep 311, loss: 28.43, 6400 train 80.77%, 1600 test 78.94% 
ep 312, loss: 27.86, 6400 train 80.52%, 1600 test 80.50% 
ep 313, loss: 28.52, 6400 train 80.11%, 1600 test 79.88% 
ep 314, loss: 28.06, 6400 train 80.75%, 1600 test 80.75% 
ep 315, loss: 28.78, 6400 train 80.03%, 1600 test 81.38% 
ep 316, loss: 27.47, 6400 train 81.00%, 1600 test 81.06% 
ep 317, loss: 28.31, 6400 train 80.53%, 1600 test 81.44% 
ep 318, loss: 28.57, 6400 train 79.62%, 1600 test 77.69% 
ep 319, loss: 27.40, 6400 train 80.66%, 1600 test 82.88% 
ep 320, loss: 27.34, 6400 train 81.08%, 1600 test 78.00% 
ep 321, loss: 28.39, 6400 train 80.19%, 1600 test 78.69% 
ep 322, loss: 27.57, 6400 train 81.28%, 1600 test 78.50% 
ep 323, loss: 28.01, 6400 train 80.75%, 1600 test 81.38% 
ep 324, loss: 28.11, 6400 train 79.80%, 1600 test 78.31% 
ep 325, loss: 27.95, 6400 train 80.70%, 1600 test 79.19% 
ep 326, loss: 27.82, 6400 train 80.58%, 1600 test 76.25% 
ep 327, loss: 27.90, 6400 train 80.58%, 1600 test 79.44% 
ep 328, loss: 27.90, 6400 train 80.77%, 1600 test 80.75% 
ep 329, loss: 27.22, 6400 train 80.98%, 1600 test 81.69% 
ep 330, loss: 27.50, 6400 train 80.95%, 1600 test 79.38% 
ep 331, loss: 27.85, 6400 train 80.30%, 1600 test 81.56% 
ep 332, loss: 27.35, 6400 train 81.16%, 1600 test 80.81% 
ep 333, loss: 27.52, 6400 train 80.80%, 1600 test 81.62% 
ep 334, loss: 27.75, 6400 train 80.78%, 1600 test 79.62% 
ep 335, loss: 28.12, 6400 train 80.39%, 1600 test 81.00% 
ep 336, loss: 28.36, 6400 train 80.20%, 1600 test 79.06% 
ep 337, loss: 27.37, 6400 train 81.05%, 1600 test 79.88% 
ep 338, loss: 26.95, 6400 train 81.08%, 1600 test 80.50% 
ep 339, loss: 27.51, 6400 train 81.27%, 1600 test 80.81% 
ep 340, loss: 26.27, 6400 train 81.58%, 1600 test 79.81% 
ep 341, loss: 27.16, 6400 train 80.81%, 1600 test 81.25% 
ep 342, loss: 27.16, 6400 train 80.97%, 1600 test 81.44% 
ep 343, loss: 26.92, 6400 train 81.89%, 1600 test 81.44% 
ep 344, loss: 26.92, 6400 train 81.05%, 1600 test 80.56% 
ep 345, loss: 27.33, 6400 train 81.02%, 1600 test 80.38% 
ep 346, loss: 26.40, 6400 train 81.20%, 1600 test 81.94% 
ep 347, loss: 27.01, 6400 train 81.19%, 1600 test 81.06% 
ep 348, loss: 26.95, 6400 train 81.47%, 1600 test 81.69% 
ep 349, loss: 28.19, 6400 train 80.33%, 1600 test 77.12% 
ep 350, loss: 26.47, 6400 train 81.14%, 1600 test 81.31% 
ep 351, loss: 27.04, 6400 train 81.12%, 1600 test 81.94% 
ep 352, loss: 26.47, 6400 train 82.03%, 1600 test 80.69% 
ep 353, loss: 26.43, 6400 train 81.38%, 1600 test 80.69% 
ep 354, loss: 27.35, 6400 train 80.78%, 1600 test 82.88% 
ep 355, loss: 26.25, 6400 train 81.64%, 1600 test 82.31% 
ep 356, loss: 26.42, 6400 train 81.69%, 1600 test 81.38% 
ep 357, loss: 27.47, 6400 train 81.38%, 1600 test 80.56% 
ep 358, loss: 26.86, 6400 train 80.78%, 1600 test 83.31% 
ep 359, loss: 26.95, 6400 train 81.47%, 1600 test 80.94% 
ep 360, loss: 27.06, 6400 train 80.92%, 1600 test 81.19% 
ep 361, loss: 27.02, 6400 train 80.69%, 1600 test 80.69% 
ep 362, loss: 27.99, 6400 train 81.11%, 1600 test 81.38% 
ep 363, loss: 26.07, 6400 train 82.00%, 1600 test 81.00% 
ep 364, loss: 26.31, 6400 train 81.95%, 1600 test 78.81% 
ep 365, loss: 27.13, 6400 train 81.34%, 1600 test 82.00% 
ep 366, loss: 26.70, 6400 train 81.52%, 1600 test 81.44% 
ep 367, loss: 26.12, 6400 train 81.70%, 1600 test 80.56% 
ep 368, loss: 25.88, 6400 train 81.86%, 1600 test 82.38% 
ep 369, loss: 25.94, 6400 train 81.94%, 1600 test 81.69% 
ep 370, loss: 26.12, 6400 train 81.70%, 1600 test 80.19% 
ep 371, loss: 27.79, 6400 train 80.89%, 1600 test 81.75% 
ep 372, loss: 26.22, 6400 train 81.80%, 1600 test 81.94% 
ep 373, loss: 26.87, 6400 train 81.48%, 1600 test 81.94% 
ep 374, loss: 26.74, 6400 train 81.23%, 1600 test 81.12% 
ep 375, loss: 26.51, 6400 train 81.75%, 1600 test 81.38% 
ep 376, loss: 25.84, 6400 train 82.22%, 1600 test 83.00% 
ep 377, loss: 26.13, 6400 train 81.94%, 1600 test 80.94% 
ep 378, loss: 25.63, 6400 train 82.33%, 1600 test 82.06% 
ep 379, loss: 26.11, 6400 train 81.81%, 1600 test 80.38% 
ep 380, loss: 26.33, 6400 train 82.16%, 1600 test 80.81% 
